bit_size,hamming_weight,algorithm,k,sample,multiplications,squarings,total_ops
1024,400,kary,6,10,232,1020,1252
1024,400,sliding,6,10,163,1021,1184
1024,400,binary_lr,,11,400,1024,1424
1024,400,binary_rl,,11,400,1023,1423
1024,400,kary,4,11,269,1020,1289
1024,400,sliding,4,11,203,1024,1227
1024,400,kary,6,11,232,1020,1252
1024,400,sliding,6,11,166,1020,1186
1024,400,binary_lr,,12,400,1024,1424
1024,400,binary_rl,,12,400,1023,1423
1024,400,kary,4,12,269,1020,1289
1024,400,sliding,4,12,190,1021,1211
1024,400,kary,6,12,232,1020,1252
1024,400,sliding,6,12,161,1021,1182
1024,400,binary_lr,,13,400,1024,1424
1024,400,binary_rl,,13,400,1023,1423
1024,400,kary,4,13,269,1020,1289
1024,400,sliding,4,13,194,1022,1216
1024,400,kary,6,13,232,1020,1252
1024,400,sliding,6,13,166,1022,1188
1024,400,binary_lr,,14,400,1024,1424
1024,400,binary_rl,,14,400,1023,1423
1024,400,kary,4,14,269,1020,1289
1024,400,sliding,4,14,187,1022,1209
1024,400,kary,6,14,232,1020,1252
1024,400,sliding,6,14,166,1020,1186
1024,400,binary_lr,,15,400,1024,1424
1024,400,binary_rl,,15,400,1023,1423
1024,400,kary,4,15,269,1020,1289
1024,400,sliding,4,15,192,1021,1213
1024,400,kary,6,15,232,1020,1252
1024,400,sliding,6,15,161,1019,1180
1024,400,binary_lr,,16,400,1024,1424
1024,400,binary_rl,,16,400,1023,1423
1024,400,kary,4,16,269,1020,1289
1024,400,sliding,4,16,191,1021,1212
1024,400,kary,6,16,232,1020,1252
1024,400,sliding,6,16,163,1021,1184
1024,400,binary_lr,,17,400,1024,1424
1024,400,binary_rl,,17,400,1023,1423
1024,400,kary,4,17,269,1020,1289
1024,400,sliding,4,17,191,1023,1214
1024,400,kary,6,17,232,1020,1252
1024,400,sliding,6,17,167,1023,1190
1024,400,binary_lr,,18,400,1024,1424
1024,400,binary_rl,,18,400,1023,1423
1024,400,kary,4,18,269,1020,1289
1024,400,sliding,4,18,198,1022,1220
1024,400,kary,6,18,232,1020,1252
1024,400,sliding,6,18,165,1022,1187
1024,400,binary_lr,,19,400,1024,1424
1024,400,binary_rl,,19,400,1023,1423
1024,400,kary,4,19,269,1020,1289
1024,400,sliding,4,19,190,1023,1213
1024,400,kary,6,19,232,1020,1252
1024,400,sliding,6,19,165,1023,1188
1024,512,binary_lr,,0,512,1024,1536
1024,512,binary_rl,,0,512,1023,1535
1024,512,kary,4,0,269,1020,1289
1024,512,sliding,4,0,214,1022,1236
1024,512,kary,6,0,232,1020,1252
1024,512,sliding,6,0,175,1019,1194
1024,512,binary_lr,,1,512,1024,1536
1024,512,binary_rl,,1,512,1023,1535
1024,512,kary,4,1,269,1020,1289
1024,512,sliding,4,1,209,1021,1230
1024,512,kary,6,1,232,1020,1252
1024,512,sliding,6,1,176,1019,1195
1024,512,binary_lr,,2,512,1024,1536
1024,512,binary_rl,,2,512,1023,1535
1024,512,kary,4,2,269,1020,1289
1024,512,sliding,4,2,211,1021,1232
1024,512,kary,6,2,232,1020,1252
1024,512,sliding,6,2,176,1021,1197
1024,512,binary_lr,,3,512,1024,1536
1024,512,binary_rl,,3,512,1023,1535
1024,512,kary,4,3,269,1020,1289
1024,512,sliding,4,3,217,1023,1240
1024,512,kary,6,3,232,1020,1252
1024,512,sliding,6,3,181,1019,1200
1024,512,binary_lr,,4,512,1024,1536
1024,512,binary_rl,,4,512,1023,1535
1024,512,kary,4,4,269,1020,1289
1024,512,sliding,4,4,211,1021,1232
1024,512,kary,6,4,232,1020,1252
1024,512,sliding,6,4,178,1020,1198
1024,512,binary_lr,,5,512,1024,1536
1024,512,binary_rl,,5,512,1023,1535
1024,512,kary,4,5,269,1020,1289
1024,512,sliding,4,5,206,1021,1227
1024,512,kary,6,5,232,1020,1252
1024,512,sliding,6,5,175,1019,1194
1024,512,binary_lr,,6,512,1024,1536
1024,512,binary_rl,,6,512,1023,1535
1024,512,kary,4,6,269,1020,1289
1024,512,sliding,4,6,214,1022,1236
1024,512,kary,6,6,232,1020,1252
1024,512,sliding,6,6,177,1022,1199
1024,512,binary_lr,,7,512,1024,1536
1024,512,binary_rl,,7,512,1023,1535
1024,512,kary,4,7,269,1020,1289
1024,512,sliding,4,7,210,1024,1234
1024,512,kary,6,7,232,1020,1252
1024,512,sliding,6,7,178,1024,1202
1024,512,binary_lr,,8,512,1024,1536
1024,512,binary_rl,,8,512,1023,1535
1024,512,kary,4,8,269,1020,1289
1024,512,sliding,4,8,213,1021,1234
1024,512,kary,6,8,232,1020,1252
1024,512,sliding,6,8,177,1019,1196
1024,512,binary_lr,,9,512,1024,1536
1024,512,binary_rl,,9,512,1023,1535
1024,512,kary,4,9,269,1020,1289
1024,512,sliding,4,9,215,1022,1237
1024,512,kary,6,9,232,1020,1252
