bit_size,algorithm,k,sample,time_seconds
1024,kary,8,7,0.0031324001029133797
1024,sliding,8,7,0.0027814999921247363
1024,pow_builtin,,8,0.002509100013412535
1024,binary_lr,,8,0.0033985000336542726
1024,binary_rl,,8,0.0035183000145480037
1024,kary,4,8,0.0027398000238463283
1024,sliding,4,8,0.002693000016734004
1024,kary,6,8,0.0026512000476941466
1024,sliding,6,8,0.002582699991762638
1024,kary,8,8,0.0029984000138938427
1024,sliding,8,8,0.002715399954468012
1024,pow_builtin,,9,0.0026250999653711915
1024,binary_lr,,9,0.003504699910990894
1024,binary_rl,,9,0.0035967000294476748
1024,kary,4,9,0.0028407000936567783
1024,sliding,4,9,0.0028159000212326646
1024,kary,6,9,0.002769300015643239
1024,sliding,6,9,0.0026856999611482024
1024,kary,8,9,0.003144600079394877
1024,sliding,8,9,0.002839599968865514
2048,pow_builtin,,0,0.017988499952480197
2048,binary_lr,,0,0.023972800001502037
2048,binary_rl,,0,0.024096000008285046
2048,kary,4,0,0.01939140004105866
2048,sliding,4,0,0.01875150005798787
2048,kary,6,0,0.018479700083844364
2048,sliding,6,0,0.018028499907813966
2048,kary,8,0,0.019414599984884262
2048,sliding,8,0,0.01820300007238984
2048,pow_builtin,,1,0.017914000083692372
2048,binary_lr,,1,0.02388670004438609
2048,binary_rl,,1,0.024143200018443167
2048,kary,4,1,0.01945500005967915
2048,sliding,4,1,0.01882400002796203
2048,kary,6,1,0.01886840001679957
2048,sliding,6,1,0.018033300060778856
2048,kary,8,1,0.019568399991840124
2048,sliding,8,1,0.01842079998459667
2048,pow_builtin,,2,0.018052499974146485
2048,binary_lr,,2,0.024352599983103573
2048,binary_rl,,2,0.024392699939198792
2048,kary,4,2,0.019688199972733855
2048,sliding,4,2,0.019021800020709634
2048,kary,6,2,0.0186493000946939
2048,sliding,6,2,0.01803140004631132
2048,kary,8,2,0.01964169996790588
2048,sliding,8,2,0.01819870003964752
2048,pow_builtin,,3,0.017684200080111623
2048,binary_lr,,3,0.023436699993908405
2048,binary_rl,,3,0.023602700093761086
2048,kary,4,3,0.019042300060391426
2048,sliding,4,3,0.018451399984769523
2048,kary,6,3,0.018236800096929073
2048,sliding,6,3,0.017657199990935624
2048,kary,8,3,0.01916030002757907
2048,sliding,8,3,0.01781019999179989
2048,pow_builtin,,4,0.01783679996151477
2048,binary_lr,,4,0.023783700075000525
2048,binary_rl,,4,0.023852900019846857
2048,kary,4,4,0.01931900007184595
2048,sliding,4,4,0.018651599995791912
2048,kary,6,4,0.01840449997689575
2048,sliding,6,4,0.017799200024455786
2048,kary,8,4,0.01937500003259629
2048,sliding,8,4,0.018092400045134127
2048,pow_builtin,,5,0.017957699950784445
2048,binary_lr,,5,0.02405229990836233
2048,binary_rl,,5,0.02424619998782873
2048,kary,4,5,0.019438000046648085
2048,sliding,4,5,0.018833699985407293
2048,kary,6,5,0.01852609997149557
2048,sliding,6,5,0.01797339995391667
2048,kary,8,5,0.019467299920506775
2048,sliding,8,5,0.018136000027880073
2048,pow_builtin,,6,0.018034800072200596
2048,binary_lr,,6,0.024024800048209727
2048,binary_rl,,6,0.0240953000029549
2048,kary,4,6,0.019423399935476482
2048,sliding,4,6,0.018831899971701205
2048,kary,6,6,0.018493000068701804
2048,sliding,6,6,0.017964900005608797
2048,kary,8,6,0.019441099953837693
2048,sliding,8,6,0.018177499994635582
2048,pow_builtin,,7,0.018128499970771372
2048,binary_lr,,7,0.024274099967442453
2048,binary_rl,,7,0.024585300008766353
2048,kary,4,7,0.019720899988897145
2048,sliding,4,7,0.01906099996995181
2048,kary,6,7,0.01877899991814047
2048,sliding,6,7,0.01826219994109124
2048,kary,8,7,0.019788699923083186
2048,sliding,8,7,0.018478799960575998
2048,pow_builtin,,8,0.017713299952447414
2048,binary_lr,,8,0.024011700064875185
2048,binary_rl,,8,0.024129100027494133
2048,kary,4,8,0.019046600093133748
2048,sliding,4,8,0.018521400052122772
2048,kary,6,8,0.0182370999827981
2048,sliding,6,8,0.017557899933308363
2048,kary,8,8,0.0190741999540478
2048,sliding,8,8,0.0178634999319911
2048,pow_builtin,,9,0.017948499997146428
