bit_size,algorithm,k,sample,multiplications,squarings,total_ops
24,kary,6,19,64,18,82
24,sliding,6,19,33,19,52
24,kary,8,19,256,16,272
24,sliding,8,19,129,17,146
32,binary_lr,,0,11,32,43
32,binary_rl,,0,11,31,42
32,kary,2,0,10,30,40
32,sliding,2,0,9,31,40
32,kary,4,0,21,28,49
32,sliding,4,0,12,31,43
32,kary,6,0,67,30,97
32,sliding,6,0,35,31,66
32,kary,8,0,257,24,281
32,sliding,8,0,130,26,156
32,binary_lr,,1,19,32,51
32,binary_rl,,1,19,31,50
32,kary,2,1,14,30,44
32,sliding,2,1,12,31,43
32,kary,4,1,21,28,49
32,sliding,4,1,14,29,43
32,kary,6,1,67,30,97
32,sliding,6,1,35,27,62
32,kary,8,1,257,24,281
32,sliding,8,1,130,25,155
32,binary_lr,,2,13,32,45
32,binary_rl,,2,13,31,44
32,kary,2,2,12,30,42
32,sliding,2,2,10,31,41
32,kary,4,2,20,28,48
32,sliding,4,2,13,29,42
32,kary,6,2,67,30,97
32,sliding,6,2,35,27,62
32,kary,8,2,257,24,281
32,sliding,8,2,130,25,155
32,binary_lr,,3,20,32,52
32,binary_rl,,3,20,31,51
32,kary,2,3,14,30,44
32,sliding,2,3,12,31,43
32,kary,4,3,20,28,48
32,sliding,4,3,13,29,42
32,kary,6,3,67,30,97
32,sliding,6,3,35,29,64
32,kary,8,3,257,24,281
32,sliding,8,3,130,29,159
32,binary_lr,,4,18,32,50
32,binary_rl,,4,18,31,49
32,kary,2,4,14,30,44
32,sliding,2,4,12,31,43
32,kary,4,4,21,28,49
32,sliding,4,4,12,30,42
32,kary,6,4,67,30,97
32,sliding,6,4,35,27,62
32,kary,8,4,257,24,281
32,sliding,8,4,130,25,155
32,binary_lr,,5,16,32,48
32,binary_rl,,5,16,31,47
32,kary,2,5,13,30,43
32,sliding,2,5,11,32,43
32,kary,4,5,20,28,48
32,sliding,4,5,13,29,42
32,kary,6,5,67,30,97
32,sliding,6,5,34,28,62
32,kary,8,5,257,24,281
32,sliding,8,5,130,28,158
32,binary_lr,,6,16,32,48
32,binary_rl,,6,16,31,47
32,kary,2,6,13,30,43
32,sliding,2,6,12,32,44
32,kary,4,6,21,28,49
32,sliding,4,6,13,30,43
32,kary,6,6,67,30,97
32,sliding,6,6,35,27,62
32,kary,8,6,257,24,281
32,sliding,8,6,130,25,155
32,binary_lr,,7,16,32,48
32,binary_rl,,7,16,31,47
32,kary,2,7,13,30,43
32,sliding,2,7,11,32,43
32,kary,4,7,21,28,49
32,sliding,4,7,13,32,45
32,kary,6,7,67,30,97
32,sliding,6,7,35,32,67
32,kary,8,7,257,24,281
32,sliding,8,7,130,25,155
32,binary_lr,,8,17,32,49
32,binary_rl,,8,17,31,48
32,kary,2,8,13,30,43
32,sliding,2,8,11,31,42
32,kary,4,8,21,28,49
32,sliding,4,8,12,29,41
32,kary,6,8,67,30,97
32,sliding,6,8,35,29,64
32,kary,8,8,257,24,281
32,sliding,8,8,130,25,155
32,binary_lr,,9,19,32,51
32,binary_rl,,9,19,31,50
32,kary,2,9,14,30,44
32,sliding,2,9,13,31,44
32,kary,4,9,21,28,49
32,sliding,4,9,13,30,43
32,kary,6,9,67,30,97
32,sliding,6,9,35,27,62
32,kary,8,9,257,24,281
32,sliding,8,9,130,26,156
32,binary_lr,,10,14,32,46
32,binary_rl,,10,14,31,45
32,kary,2,10,11,30,41
32,sliding,2,10,9,32,41
32,kary,4,10,20,28,48
32,sliding,4,10,13,29,42
32,kary,6,10,67,30,97
32,sliding,6,10,34,27,61
32,kary,8,10,257,24,281
32,sliding,8,10,130,27,157
32,binary_lr,,11,17,32,49
32,binary_rl,,11,17,31,48
32,kary,2,11,14,30,44
32,sliding,2,11,12,32,44
32,kary,4,11,21,28,49
32,sliding,4,11,13,29,42
32,kary,6,11,67,30,97
32,sliding,6,11,35,27,62
32,kary,8,11,257,24,281
32,sliding,8,11,130,25,155
32,binary_lr,,12,14,32,46
32,binary_rl,,12,14,31,45
32,kary,2,12,12,30,42
32,sliding,2,12,9,31,40
32,kary,4,12,20,28,48
32,sliding,4,12,12,31,43
32,kary,6,12,66,30,96
32,sliding,6,12,35,31,66
32,kary,8,12,257,24,281
32,sliding,8,12,130,31,161
32,binary_lr,,13,12,32,44
32,binary_rl,,13,12,31,43
32,kary,2,13,12,30,42
32,sliding,2,13,11,32,43
32,kary,4,13,21,28,49
32,sliding,4,13,13,30,43
32,kary,6,13,67,30,97
32,sliding,6,13,35,28,63
32,kary,8,13,257,24,281
32,sliding,8,13,130,25,155
32,binary_lr,,14,17,32,49
32,binary_rl,,14,17,31,48
32,kary,2,14,13,30,43
32,sliding,2,14,10,31,41
32,kary,4,14,21,28,49
32,sliding,4,14,13,29,42
32,kary,6,14,67,30,97
32,sliding,6,14,35,28,63
32,kary,8,14,257,24,281
32,sliding,8,14,130,25,155
32,binary_lr,,15,16,32,48
32,binary_rl,,15,16,31,47
32,kary,2,15,12,30,42
32,sliding,2,15,10,31,41
32,kary,4,15,20,28,48
32,sliding,4,15,12,29,41
32,kary,6,15,67,30,97
32,sliding,6,15,35,29,64
32,kary,8,15,257,24,281
32,sliding,8,15,130,29,159
32,binary_lr,,16,15,32,47
32,binary_rl,,16,15,31,46
32,kary,2,16,11,30,41
32,sliding,2,16,10,32,42
32,kary,4,16,20,28,48
32,sliding,4,16,12,29,41
32,kary,6,16,67,30,97
32,sliding,6,16,35,29,64
32,kary,8,16,257,24,281
32,sliding,8,16,130,25,155
32,binary_lr,,17,16,32,48
32,binary_rl,,17,16,31,47
32,kary,2,17,12,30,42
32,sliding,2,17,11,32,43
32,kary,4,17,20,28,48
32,sliding,4,17,12,29,41
32,kary,6,17,67,30,97
32,sliding,6,17,35,29,64
32,kary,8,17,257,24,281
32,sliding,8,17,130,29,159
32,binary_lr,,18,15,32,47
32,binary_rl,,18,15,31,46
32,kary,2,18,13,30,43
32,sliding,2,18,12,32,44
32,kary,4,18,21,28,49
32,sliding,4,18,13,32,45
32,kary,6,18,67,30,97
32,sliding,6,18,35,28,63
32,kary,8,18,257,24,281
32,sliding,8,18,130,25,155
32,binary_lr,,19,13,32,45
32,binary_rl,,19,13,31,44
32,kary,2,19,12,30,42
32,sliding,2,19,10,32,42
32,kary,4,19,20,28,48
32,sliding,4,19,12,29,41
32,kary,6,19,67,30,97
32,sliding,6,19,34,27,61
32,kary,8,19,257,24,281
32,sliding,8,19,130,26,156
64,binary_lr,,0,31,64,95
64,binary_rl,,0,31,63,94
64,kary,2,0,26,62,88
64,sliding,2,0,23,64,87
64,kary,4,0,29,60,89
64,sliding,4,0,20,64,84
64,kary,6,0,72,60,132
64,sliding,6,0,40,64,104
64,kary,8,0,261,56,317
64,sliding,8,0,133,57,190
64,binary_lr,,1,32,64,96
64,binary_rl,,1,32,63,95
64,kary,2,1,25,62,87
64,sliding,2,1,21,63,84
64,kary,4,1,28,60,88
64,sliding,4,1,19,62,81
64,kary,6,1,72,60,132
64,sliding,6,1,38,60,98
64,kary,8,1,261,56,317
64,sliding,8,1,133,57,190
64,binary_lr,,2,30,64,94
64,binary_rl,,2,30,63,93
64,kary,2,2,24,62,86
64,sliding,2,2,20,64,84
64,kary,4,2,28,60,88
64,sliding,4,2,19,61,80
64,kary,6,2,72,60,132
64,sliding,6,2,40,61,101
64,kary,8,2,261,56,317
64,sliding,8,2,133,58,191
64,binary_lr,,3,31,64,95
64,binary_rl,,3,31,63,94
64,kary,2,3,22,62,84
64,sliding,2,3,20,63,83
64,kary,4,3,29,60,89
64,sliding,4,3,18,62,80
64,kary,6,3,72,60,132
64,sliding,6,3,40,62,102
64,kary,8,3,261,56,317
64,sliding,8,3,134,57,191
